danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.606,0.6629999999999999,7,-7.239,1,0.3779999999999999,0.201,0.22,0.2269999999999999,0.517,171.4,audio_features,3bJVpDpPWDygulO0moI7bg,spotify:track:3bJVpDpPWDygulO0moI7bg,https://api.spotify.com/v1/tracks/3bJVpDpPWDygulO0moI7bg,https://api.spotify.com/v1/audio-analysis/3bJVpDpPWDygulO0moI7bg,283600,4,Hiphop,Answers,,
0.802,0.624,8,-5.66,1,0.0795,0.0999,0.0,0.126,0.15,140.07,audio_features,5bfxB7MRF6uOSHpRl0rJCL,spotify:track:5bfxB7MRF6uOSHpRl0rJCL,https://api.spotify.com/v1/tracks/5bfxB7MRF6uOSHpRl0rJCL,https://api.spotify.com/v1/audio-analysis/5bfxB7MRF6uOSHpRl0rJCL,181714,4,Trap Metal,WINNING,,
0.762,0.7490000000000001,9,-6.206,1,0.287,0.126,3.55e-06,0.275,0.331,140.019,audio_features,3HZIU3FhjUzRD8ABdcjdu6,spotify:track:3HZIU3FhjUzRD8ABdcjdu6,https://api.spotify.com/v1/tracks/3HZIU3FhjUzRD8ABdcjdu6,https://api.spotify.com/v1/audio-analysis/3HZIU3FhjUzRD8ABdcjdu6,164885,4,Underground Rap,Steppin Out,,
0.847,0.486,4,-10.255,1,0.079,0.139,0.0,0.667,0.833,207.95,audio_features,3A0AJOUnY9PbuDCZBuNC7s,spotify:track:3A0AJOUnY9PbuDCZBuNC7s,https://api.spotify.com/v1/tracks/3A0AJOUnY9PbuDCZBuNC7s,https://api.spotify.com/v1/audio-analysis/3A0AJOUnY9PbuDCZBuNC7s,163892,4,Dark Trap,anakin ur breaking my heart ).:,,
0.3989999999999999,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.5720000000000001,117.089,audio_features,4VrWlk8IQxevMvERoX08iC,spotify:track:4VrWlk8IQxevMvERoX08iC,https://api.spotify.com/v1/tracks/4VrWlk8IQxevMvERoX08iC,https://api.spotify.com/v1/audio-analysis/4VrWlk8IQxevMvERoX08iC,216120,5,Pop,Chandelier,,
0.7709999999999999,0.812,1,-5.1,1,0.322,0.193,0.0,0.0408,0.667,183.77,audio_features,25ZnLelhEKRwcsP7ycTEgb,spotify:track:25ZnLelhEKRwcsP7ycTEgb,https://api.spotify.com/v1/tracks/25ZnLelhEKRwcsP7ycTEgb,https://api.spotify.com/v1/audio-analysis/25ZnLelhEKRwcsP7ycTEgb,286893,4,Underground Rap,Red Hook Day,,
0.774,0.7509999999999999,1,-2.445,1,0.198,0.0614,0.0,0.0728,0.1889999999999999,219.96,audio_features,37gqBnUAZe8BY8WR56kDNk,spotify:track:37gqBnUAZe8BY8WR56kDNk,https://api.spotify.com/v1/tracks/37gqBnUAZe8BY8WR56kDNk,https://api.spotify.com/v1/audio-analysis/37gqBnUAZe8BY8WR56kDNk,140326,4,Dark Trap,I Put My Dick in Your Mental,,
0.645,0.497,2,-4.111000000000001,1,0.0265,0.841,0.0,0.131,0.602,120.036,audio_features,1w63oxR5cYzGynGUg8sAIx,spotify:track:1w63oxR5cYzGynGUg8sAIx,https://api.spotify.com/v1/tracks/1w63oxR5cYzGynGUg8sAIx,https://api.spotify.com/v1/audio-analysis/1w63oxR5cYzGynGUg8sAIx,149368,5,Hiphop,Koi,,
0.54,0.5720000000000001,9,-8.665,1,0.115,0.624,0.0,0.14,0.43,165.12400000000002,audio_features,6Umac95Mt46VcwAM9s9mOa,spotify:track:6Umac95Mt46VcwAM9s9mOa,https://api.spotify.com/v1/tracks/6Umac95Mt46VcwAM9s9mOa,https://api.spotify.com/v1/audio-analysis/6Umac95Mt46VcwAM9s9mOa,252320,3,RnB,To the Moon,,
0.917,0.452,0,-10.149,1,0.0765,0.5589999999999999,0.108,0.096,0.186,109.013,audio_features,2v6Npqv2c0u2HEc6r1T2IL,spotify:track:2v6Npqv2c0u2HEc6r1T2IL,https://api.spotify.com/v1/tracks/2v6Npqv2c0u2HEc6r1T2IL,https://api.spotify.com/v1/audio-analysis/2v6Npqv2c0u2HEc6r1T2IL,123847,4,Underground Rap,service,,
0.8390000000000001,0.563,2,-7.023,1,0.162,0.2789999999999999,0.0,0.111,0.136,140.036,audio_features,6AFWx8JqsslV2MsWhpGjnR,spotify:track:6AFWx8JqsslV2MsWhpGjnR,https://api.spotify.com/v1/tracks/6AFWx8JqsslV2MsWhpGjnR,https://api.spotify.com/v1/audio-analysis/6AFWx8JqsslV2MsWhpGjnR,137143,4,Underground Rap,I LIKE BLOOD,,
0.809,0.772,4,-3.513,0,0.0709,0.0304,0.000847,0.166,0.318,152.07,audio_features,3WnWba3xL7HvjQmUCpgLJF,spotify:track:3WnWba3xL7HvjQmUCpgLJF,https://api.spotify.com/v1/tracks/3WnWba3xL7HvjQmUCpgLJF,https://api.spotify.com/v1/audio-analysis/3WnWba3xL7HvjQmUCpgLJF,221544,4,Rap,Lightbeam (feat. NoCap),,
0.455,0.535,9,-10.602,0,0.0426,0.0209,0.64,0.126,0.216,157.01,audio_features,2RQAG0wQt35UzAPEyVJFWN,spotify:track:2RQAG0wQt35UzAPEyVJFWN,https://api.spotify.com/v1/tracks/2RQAG0wQt35UzAPEyVJFWN,https://api.spotify.com/v1/audio-analysis/2RQAG0wQt35UzAPEyVJFWN,237440,4,RnB,Love Drought,,
0.8009999999999999,0.835,0,-3.809,1,0.0454,0.0811,0.324,0.0926,0.968,144.912,audio_features,3PHt7AdVhjIMS5Yw5RIZKU,spotify:track:3PHt7AdVhjIMS5Yw5RIZKU,https://api.spotify.com/v1/tracks/3PHt7AdVhjIMS5Yw5RIZKU,https://api.spotify.com/v1/audio-analysis/3PHt7AdVhjIMS5Yw5RIZKU,118034,4,Trap Metal,Wtf U Mean,,
0.936,0.57,11,-7.292000000000001,0,0.318,0.0264,0.0,0.0973,0.563,128.049,audio_features,3jmR6C9DIMMcLMjliCTICb,spotify:track:3jmR6C9DIMMcLMjliCTICb,https://api.spotify.com/v1/tracks/3jmR6C9DIMMcLMjliCTICb,https://api.spotify.com/v1/audio-analysis/3jmR6C9DIMMcLMjliCTICb,154219,4,Underground Rap,Cheap Cheap (feat. Jack Harlow),,
0.534,0.8270000000000001,4,-4.997,0,0.2289999999999999,0.0504,1.2e-06,0.0465,0.353,177.864,audio_features,1lQnpFvibfDF5NURlNYIrz,spotify:track:1lQnpFvibfDF5NURlNYIrz,https://api.spotify.com/v1/tracks/1lQnpFvibfDF5NURlNYIrz,https://api.spotify.com/v1/audio-analysis/1lQnpFvibfDF5NURlNYIrz,231520,4,Hiphop,Welcome To Los Santos,,
0.905,0.562,8,-7.883999999999999,1,0.0662,0.4529999999999999,0.000285,0.13,0.507,139.997,audio_features,3DbBgbnDUOml329rAp2Tbr,spotify:track:3DbBgbnDUOml329rAp2Tbr,https://api.spotify.com/v1/tracks/3DbBgbnDUOml329rAp2Tbr,https://api.spotify.com/v1/audio-analysis/3DbBgbnDUOml329rAp2Tbr,206500,4,Hiphop,Colorado,,
